food_id,food_name,food_type,meal_id,serving_weight,serving_weight_unit,serving_volume,serving_volume_unit,serving_qty,serving_qty_unit,serving_summary,nutrition_calories_kj,nutrition_fat_g_total,nutrition_fat_g_trans,nutrition_fat_g_sat,nutrition_fat_g_other,nutrition_carb_g_total,nutrition_carb_g_not_fibre,nutrition_carb_g_sugar,nutrition_carb_g_fibre,nutrition_carb_g_other,nutrition_protein_g,nutrition_potassium,nutrition_sodium
food_id INTEGER,food_name TEXT,food_type TEXT,meal_id INTEGER,serving_weight INTEGER,serving_weight_unit TEXT,serving_volume REAL,serving_volume_unit TEXT,serving_qty INTEGER,serving_qty_unit TEXT,serving_summary TEXT,nutrition_calories_kj INTEGER,nutrition_fat_g_total REAL,nutrition_fat_g_trans REAL,nutrition_fat_g_sat REAL,nutrition_fat_g_other REAL,nutrition_carb_g_total REAL,nutrition_carb_g_not_fibre REAL,nutrition_carb_g_sugar REAL,nutrition_carb_g_fibre REAL,nutrition_carb_g_other REAL,nutrition_protein_g REAL,nutrition_potassium INTEGER,nutrition_sodium INTEGER
180,"rice eggs and cheese","meal",24,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"rice eggs and cheese",-1,24,-1,-1
181,"lpq paris ham and gruyere","meal",25,-1,-1,-1,-1,1,"pieces","1oz/1pieces","Err:502","",-1,-1,-1,"","",-1,"lpq ham and gruyere",-1,25,-1,-1
182,"baby red potatoes",-1,-1,1,"oz",-1,-1,-1,-1,"1oz/",25,3,-1,-1,-1,6,6,6,-1,-1,8,155,2
183,"pnut rice cake4","meal",26,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"pnut rice cake4",-1,26,-1,-1
184,"egg fried rice cheese","meal",27,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"egg fried rice cheese",-1,27,-1,-1
185,"egg fried rice cheese2","meal",28,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"egg fried rice cheese2",-1,29,-1,-1
186,"pnut rice cake5","meal",29,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"this was too runny","",-1,"pnut rice cake5",-1,28,-1,-1
187,"pnut rice cake6","meal",30,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"perfect","",-1,"pnut rice cake6",-1,30,-1,-1
188,"ground pepper",-1,-1,-1,-1,1,"tbsp",-1,-1,"1tbsp/",17,0,-1,-1,-1,4,4,-1,2,-1,0,92,1
189,"salt",-1,-1,-1,-1,1,"tsp",-1,-1,"1tsp/",0,0,-1,-1,-1,0,0,-1,0,-1,0,0,2325
190,"egg cheese toast","meal",31,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"egg cheese toast",-1,31,-1,-1
191,"tomato toast","meal",32,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"tomato toast",-1,32,-1,-1
192,"pecans",-1,-1,-1,-1,0.25,"cup",-1,-1,"0.25cup/",170,71,-1,-1,-1,14,4,4,10,-1,9,406,-1
193,"pnut pretzels","meal",33,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"pnut pretzels",-1,33,-1,-1
194,"maple rice cakes","meal",34,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"maple rice cakes",-1,34,-1,-1
195,"pnut rice cake7","meal",35,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"perfect","",-1,"pnut rice cake7",-1,35,-1,-1
196,"louies turkey omelete light","meal",36,-1,-1,-1,-1,1,"pieces","56g/1pieces","Err:502","",-1,-1,-1,"perfect","",-1,"louies turkey omelete light",-1,36,-1,-1
197,"pasta gluten free",-1,-1,56,"g",-1,-1,-1,-1,"56g/",210,1,-1,-1,-1,46,42,-1,4,-1,4,-1,-1
198,"avocado oil",-1,-1,-1,-1,1,"tbsp",-1,-1,"1tbsp/",130,14,-1,-1,-1,0,0,-1,0,-1,0,-1,-1
199,"mayo light",-1,-1,-1,-1,1,"tbsp",-1,-1,"1tbsp/",39,4,-1,-1,-1,1,0,-1,0,-1,0,-1,135
200,"sweet potato",-1,-1,-1,-1,-1,-1,1,"pieces","1pieces",112,0,-1,-1,-1,26,22,-1,4,-1,2,483,72
201,"courgette",-1,-1,-1,-1,-1,-1,1,"pieces","1pieces",54,1,-1,-1,-1,10,7,-1,3,-1,4,843,26
202,"crackers corn thin",-1,-1,-1,-1,-1,-1,3,"pieces","3pieces",48,0,-1,-1,-1,11,11,-1,-1,-1,1,-1,11
